category_id	source	title
adult_core	wikidata:Q471839	Atolladero
adult_core	wikidata:Q471839	Atomic Brain Invasion
adult_core	wikidata:Q471839	Atomic Dog
adult_core	wikidata:Q471839	Atomic Rulers of the World
adult_core	wikidata:Q471839	Atragon
adult_core	wikidata:Q471839	Attack Force
adult_core	wikidata:Q471839	Attack from Space
adult_core	wikidata:Q471839	Attack of the 50 Foot Cheerleader
adult_core	wikidata:Q471839	Attack of the 50 Foot Woman
adult_core	wikidata:Q471839	Attack of the 50 Ft. Woman
adult_core	wikidata:Q471839	Attack of the 60 Foot Centerfold
adult_core	wikidata:Q471839	Attack of the Crab Monsters
adult_core	wikidata:Q471839	Attack of the Flesh-Eating Mutants
adult_core	wikidata:Q471839	Attack of the Giant Blurry Finger
adult_core	wikidata:Q471839	Attack of the Giant Leeches
adult_core	wikidata:Q471839	Attack of the Killer Tomatoes
adult_core	wikidata:Q471839	Attack of the Moon Zombies
adult_core	wikidata:Q471839	Attack of the Puppet People
adult_core	wikidata:Q471839	Attack of the Robots
adult_core	wikidata:Q471839	Attack of the Sabretooth
adult_core	wikidata:Q471839	Attack on Titan: The Roar of Awakening
adult_core	wikidata:Q471839	Attack the Block
adult_core	wikidata:Q471839	Attacks from the Future: Rinoplasticos
adult_core	wikidata:Q471839	Attraction
adult_core	wikidata:Q471839	Auf Nummer sicher?
adult_core	wikidata:Q471839	August Eighth
adult_core	wikidata:Q471839	Aura
adult_core	wikidata:Q471839	Aurora: Operation Intercept
adult_core	wikidata:Q471839	Automania 2000
adult_core	wikidata:Q471839	Automatons
adult_core	wikidata:Q471839	Autómata
adult_core	wikidata:Q471839	Avalanche Sharks
adult_core	wikidata:Q471839	Avalon
adult_core	wikidata:Q471839	Avant pétalos grillados
adult_core	wikidata:Q471839	Avatar
adult_core	wikidata:Q471839	Avatar: The Way of Water
adult_core	wikidata:Q471839	Avengers Confidential: Black Widow & Punisher
adult_core	wikidata:Q471839	Avengers XXX – A Porn Parody
adult_core	wikidata:Q471839	Avengers: Age of Ultron
adult_core	wikidata:Q471839	Avengers: Doomsday
adult_core	wikidata:Q471839	Avengers: Infinity War
adult_core	wikidata:Q471839	Avengers: Secret Wars
adult_core	wikidata:Q471839	Aversion
adult_core	wikidata:Q471839	AVH: Alien vs. Hunter
adult_core	wikidata:Q471839	Awake
adult_core	wikidata:Q471839	Aztech
adult_core	wikidata:Q471839	Azusa, Otetsudai Shimasu!
adult_core	wikidata:Q471839	Ba'al: The Storm God
adult_core	wikidata:Q471839	Babičky dobíjejte přesně!
adult_core	wikidata:Q471839	Baby Bigfoot
adult_core	wikidata:Q471839	Baby Genius
adult_core	wikidata:Q471839	Babylon 5: A Call to Arms
adult_core	wikidata:Q471839	Babylon 5: The Legend of the Rangers
adult_core	wikidata:Q471839	Babylon 5: The Lost Tales
adult_core	wikidata:Q471839	Babylon A.D.
adult_core	wikidata:Q471839	Back to the Future
adult_core	wikidata:Q471839	Back to the Future Part II
adult_core	wikidata:Q471839	Back to the Future Part III
